headline,date,doc_type,material_type,section,keywords
Mining Company to Offer H.I.V. Drugs to Employees,2002-08-07,article,News,,"['Acquired Immune Deficiency Syndrome', 'Mines and Mining']"
Market Place; Eisner Critics May Demand Revived Disney By November,2002-08-14,article,News,,"['COMPANY AND ORGANIZATION PROFILES', 'Television', 'Boards of Directors']"
"Civil War Relics Draw Visitors, and Con Artists",2002-08-04,article,News,,"['Frauds and Swindling', 'Memorabilia', 'Civil War (US) (1861-65)']"
Deals and Discounts,2002-08-04,article,News,,"['Ships and Shipping', 'Wines', 'Cooking and Cookbooks', 'Discount Selling', 'Alcoholic Beverages', 'Travel and Vacations', 'Cruises', 'National Parks, Monuments and Seashores']"
"Copies of a Vatican Masterpiece, Made in the U.S.A.",2002-08-07,article,News,,"['Models and Replicas', 'Art']"
Buddy System,2002-08-07,article,News,,[]
Europe for Thanksgiving,2002-08-13,article,News,,[]
"Huck Finn, Continental Style",2002-08-08,article,News,,[]
Cruise Debut,2002-08-14,article,News,,[]
ANTIQUES,2002-08-02,article,News,,"['WICKER', 'Archaeology and Anthropology', 'Antiques', 'Furniture', 'Opera', 'Greek Civilization', 'Olympic Games (2004)']"
