month,sentiment
1978-01,0.24154827586206895
1978-02,0.2826633333333333
1978-03,0.2438296296296296
1978-04,0.2765896551724138
1978-05,0.25736896551724137
1978-06,0.26765714285714287
1978-07,0.2591096774193548
1978-08,0.20546666666666666
1978-11,0.24878999999999998
1978-12,0.24878999999999998
1979-01,0.22058214285714284
1979-02,0.27732068965517237
1979-03,0.23956666666666665
1979-04,0.24675925925925923
1979-05,0.2570758620689655
1979-06,0.2287965517241379
1979-07,0.24154827586206895
1979-08,0.24878999999999998
1979-09,0.27803793103448277
1979-10,0.18996551724137928
1979-11,0.29654137931034485
1979-12,0.25019
1980-01,0.21476
1980-02,0.24283448275862066
1980-03,0.314
1980-04,0.2571233333333333
1980-05,0.24878999999999998
1980-06,0.2487035714285714
1980-07,0.2224
1980-08,0.24878999999999998
1980-09,0.2332206896551724
1980-10,0.2700821428571428
1980-11,0.24878999999999998
1980-12,0.24878999999999998
1981-01,0.24774999999999997
1981-02,0.24154827586206895
1981-03,0.2392068965517241
1981-04,0.28646785714285716
1981-05,0.20798387096774193
1981-06,0.2765896551724138
1981-07,0.2501965517241379
1981-08,0.2295033333333333
1981-09,0.24878999999999998
1981-10,0.2700821428571428
1981-11,0.2251642857142857
1981-12,0.2961354838709677
1982-01,0.24878999999999998
1982-02,0.24878999999999998
1982-03,0.24865555555555552
1982-04,0.23163999999999998
1982-05,0.24878999999999998
1982-06,0.3430333333333333
1982-07,0.17168181818181816
1982-08,0.1986222222222222
1982-09,0.29382
1982-10,0.24889999999999998
1982-11,0.3430333333333333
1982-12,0.11881999999999997
1983-01,0.28983636363636367
1983-02,0.3430333333333333
1983-03,0.11202222222222222
1983-04,0.34668
1983-05,0.24865555555555552
1983-06,0.24889999999999998
1983-07,0.24878999999999998
1983-08,0.1986222222222222
1983-09,0.22959999999999997
1983-10,0.17256249999999998
1983-11,0.22617272727272725
1983-12,0.24878999999999998
1984-01,0.24878999999999998
1984-02,0.24878999999999998
1984-03,0.24878999999999998
1984-04,0.24878999999999998
1984-05,0.24878999999999998
1984-06,0.3430333333333333
1984-07,0.24878999999999998
1984-08,0.24878999999999998
1984-09,0.24878999999999998
1984-10,0.22545555555555552
1984-11,0.24878999999999998
1984-12,0.24878999999999998
1985-01,0.24878999999999998
1985-02,0.24878999999999998
1985-03,0.22545555555555552
1985-04,0.26788181818181817
1985-05,0.24878999999999998
1985-06,0.24878999999999998
1985-07,0.22545555555555552
1985-08,0.24865555555555552
1985-09,0.24878999999999998
1985-10,0.2764333333333333
1985-11,0.22379
1985-12,0.22790999999999997
1986-01,0.24878999999999998
1986-02,0.24878999999999998
1986-03,0.24878999999999998
1986-04,0.24878999999999998
1986-05,0.3598
1986-06,0.18506363636363635
1986-07,0.24878999999999998
1986-08,0.24878999999999998
1986-09,0.24878999999999998
1986-10,0.21791111111111108
1986-11,0.25931
1986-12,0.24878999999999998
1987-01,0.24878999999999998
1987-02,0.18436666666666668
1987-03,0.2397111111111111
1987-04,0.28983636363636367
1987-05,0.24878999999999998
1987-06,0.24878999999999998
1987-07,0.24878999999999998
1987-08,0.24878999999999998
1987-09,0.3430333333333333
1987-10,0.24878999999999998
1987-11,0.17076249999999998
1987-12,0.24878999999999998
1988-01,0.24878999999999998
1988-02,0.1878
1988-03,0.28945
1988-04,0.154725
1988-05,0.24878999999999998
1988-06,0.24878999999999998
1988-07,0.24878999999999998
1988-08,0.24878999999999998
1988-09,0.24878999999999998
1988-10,0.24878999999999998
1988-11,0.24878999999999998
1988-12,0.3430333333333333
1989-01,0.17168181818181816
1989-02,0.24878999999999998
1989-03,0.24878999999999998
1989-04,0.24878999999999998
1989-05,0.24878999999999998
1989-06,0.24878999999999998
1989-07,0.24878999999999998
1989-08,0.24878999999999998
1989-09,0.22545555555555552
1989-10,0.35461
1989-11,0.24878999999999998
1989-12,0.24878999999999998
1990-01,0.3383666666666667
1990-02,0.24878999999999998
1990-03,0.24878999999999998
1990-04,0.2764333333333333
1990-05,0.22617272727272725
1990-06,0.18436666666666668
1990-07,0.39159
1990-08,0.24878999999999998
1990-09,0.3430333333333333
1990-10,0.17168181818181816
1990-11,0.24878999999999998
1990-12,0.2797375
1991-01,0.19093
1991-02,0.24878999999999998
1991-03,0.22959999999999997
1991-04,0.26593999999999995
1991-05,0.24889999999999998
1991-06,0.24878999999999998
1991-07,0.24878999999999998
1991-08,0.22545555555555552
1991-09,0.1986222222222222
1991-10,0.18436666666666668
1991-11,0.1878
1991-12,0.28945
1992-01,0.24878999999999998
1992-02,0.24878999999999998
1992-03,0.24878999999999998
1992-04,0.24878999999999998
1992-05,0.1986222222222222
1992-06,0.28983636363636367
1992-07,0.24878999999999998
1992-08,0.22959999999999997
1992-09,0.20808
1992-10,0.3015
1992-11,0.18436666666666668
1992-12,0.21791111111111108
1993-01,0.27405454545454544
1993-02,0.24878999999999998
1993-03,0.320075
1993-04,0.1467
1993-05,0.24878999999999998
1993-06,0.24878999999999998
1993-07,0.24878999999999998
1993-08,0.24878999999999998
1993-09,0.24878999999999998
1993-10,0.24878999999999998
1993-11,0.03646666666666665
1993-12,0.24878999999999998
1994-01,0.24878999999999998
1994-02,0.24878999999999998
1994-03,0.24865555555555552
1994-04,0.2583428571428571
1994-05,0.276375
1994-06,0.24878999999999998
1994-07,0.24878999999999998
1994-08,0.24878999999999998
1994-09,0.24878999999999998
1994-10,0.25363749999999996
1994-11,0.19612
1994-12,0.251475
1995-01,0.24878999999999998
1995-02,0.22545555555555552
1995-03,0.22464
1995-04,0.24878999999999998
