week,sentiment
1980-09-01/1980-09-07,0.25179999999999997
1980-09-08/1980-09-14,0.08452
1980-09-15/1980-09-21,0.23067777777777776
1980-09-22/1980-09-28,0.41701666666666665
1980-09-29/1980-10-05,0.22516666666666665
1980-10-06/1980-10-12,0.1928
1980-10-13/1980-10-19,0.5528142857142857
1980-10-20/1980-10-26,-0.011416666666666686
1980-10-27/1980-11-02,0.19229999999999997
1980-11-03/1980-11-09,0.4280333333333333
1980-11-10/1980-11-16,0.32437499999999997
1980-11-17/1980-11-23,0.2778142857142857
1980-11-24/1980-11-30,0.011699999999999988
1980-12-01/1980-12-07,0.12537142857142855
1980-12-08/1980-12-14,0.2103
1980-12-15/1980-12-21,0.1931
1980-12-22/1980-12-28,0.2981375
1980-12-29/1981-01-04,0.491
1981-01-05/1981-01-11,0.07635999999999998
1981-01-12/1981-01-18,0.3185857142857143
1981-01-19/1981-01-25,0.5194571428571428
1981-01-26/1981-02-01,0.07239999999999998
1981-02-02/1981-02-08,0.3537777777777778
1981-02-09/1981-02-15,0.17647499999999997
1981-02-16/1981-02-22,0.23626666666666665
1981-02-23/1981-03-01,0.1861
1981-03-02/1981-03-08,0.2665
1981-03-09/1981-03-15,0.30332
1981-03-16/1981-03-22,0.0005749999999999922
1981-03-23/1981-03-29,0.16749999999999998
1981-03-30/1981-04-05,0.3895125
1981-04-06/1981-04-12,0.4245666666666667
1981-04-13/1981-04-19,0.09652499999999997
1981-04-20/1981-04-26,0.06583333333333331
1981-04-27/1981-05-03,0.31264
1981-05-04/1981-05-10,-0.31385
1981-05-11/1981-05-17,0.2972125
1981-05-18/1981-05-24,0.3546625
1981-05-25/1981-05-31,0.2995857142857143
1981-06-01/1981-06-07,0.4338875
1981-06-08/1981-06-14,0.15187
1981-06-15/1981-06-21,0.305375
1981-06-22/1981-06-28,0.18491666666666665
1981-06-29/1981-07-05,0.3577666666666666
1981-07-06/1981-07-12,0.28703
1981-07-13/1981-07-19,0.015739999999999976
1981-07-20/1981-07-26,0.4291333333333333
1981-07-27/1981-08-02,0.10711999999999999
1981-08-03/1981-08-09,0.282575
1981-08-10/1981-08-16,0.19834999999999997
1981-08-17/1981-08-23,0.15448
1981-08-24/1981-08-30,0.26868
1981-08-31/1981-09-06,0.4928333333333333
1981-09-07/1981-09-13,0.2686125
1981-09-14/1981-09-20,0.25565
1981-09-21/1981-09-27,-0.035683333333333345
1981-09-28/1981-10-04,0.25432499999999997
1981-10-05/1981-10-11,0.34295
1981-10-12/1981-10-18,0.19885555555555554
1981-10-19/1981-10-25,0.61284
1981-10-26/1981-11-01,0.0738142857142857
1981-11-02/1981-11-08,0.3361
1981-11-09/1981-11-15,0.4567777777777777
1981-11-16/1981-11-22,0.15633999999999998
