headline,date,doc_type,material_type,section,keywords
Oasis of Artisanry in the Berkshires,2014-11-17,article,Special Report,,"['Jewels and Jewelry', 'Collectors and Collections']"
Met’s First Plans for the Whitney’s Old Home,2014-11-13,article,News,,['Art']
When Fractions of a Second Can Change Whole Lives,2014-11-27,article,Review,,"['Movies', 'Documentary Films and Programs', 'Swimming', 'Olympic Games']"
"Oud: Short Name, Big Effect",2014-11-20,article,News,,"['Perfumes and Fragrances', 'Cosmetics and Toiletries']"
"Why the Gotham Awards Are, Ahem, a Tad Lightweight",2014-12-01,article,News,,"['Gotham Independent Film Awards', 'Movies']"
In Front Of Your Macroeconomic Nose,2014-11-28,article,News,,[]
"In New Napoleonic Era, His Hats and Stockings Rise to Power",2014-11-17,article,News,,"['Auctions', 'Museums', 'Collectors and Collections']"
My Mission to Buy Small Business Health Insurance Begins Again,2014-11-25,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Small Business']"
Deft Footwork Updates a Classic ,2014-11-08,article,Review,,['Theater']
When Is a Chocolate Shortage a Good Thing?,2014-11-18,article,News,,"['Chocolate', 'Cocoa', 'Consumer Protection', 'Cooking and Cookbooks', 'Ebola Virus', 'Global Warming', 'Greenhouse Gas Emissions', 'Luxury Goods and Services']"
