headline,date,doc_type,material_type,section,keywords
Just Try Putting Yourself in His Shoes,2012-11-13,article,News,,"['Shoes and Boots', 'Shopping and Retail']"
Note to Builders: Minimize Your Impact,2012-11-30,article,News,,['Real Estate and Housing (Residential)']
"Units Unlivable, Renters Review Options",2012-11-07,article,News,,"['Renting and Leasing (Real Estate)', 'Hurricane Sandy (2012)', 'Landlords', 'Real Estate and Housing (Residential)']"
"Luxurious Quality, More Than a Name",2012-11-21,article,News,,['Handbags and Purses']
The Fetching Artistry of a Master Horologist,2012-11-23,article,News,,"['Watches and Clocks', 'Auctions']"
What Is Going on With Contemporary Art?,2012-11-15,article,News,,['Art']
What You Get for...$2 Million,2012-11-28,article,News,,['Real Estate and Housing (Residential)']
FERC Takes Aim at Wall Street,2012-11-02,article,News,,"['Banking and Financial Institutions', 'Energy and Power', 'Regulation and Deregulation of Industry']"
Straining to Savor the Tea of Emperors,2012-11-21,article,News,,['Tea']
"Downtown, the Crystal Ball Clouds Up",2012-11-29,article,News,,"['Hurricane Sandy (2012)', 'Real Estate and Housing (Residential)']"
