headline,date,doc_type,material_type,section,keywords
A Daring Plan to Fix the Subways,2018-06-03,article,Editorial,,"['Subways', 'Transit Systems', 'State Legislatures']"
The Rich Are Planning to Leave This Wretched Planet,2018-06-09,article,News,,"['Rocket Science and Propulsion', 'Space and Astronomy', 'Travel and Vacations', 'Luxury Goods and Services', 'High Net Worth Individuals']"
Let the Stream Run Through It,2018-06-25,article,News,,"['Mines and Mining', 'Water Pollution', 'Superfund', 'Water']"
A Biography Charts an Odysseus Sidelined by Mental Illness,2018-06-20,article,Review,,"['Books and Literature', 'Mental Health and Disorders', 'Sailboats and Sailing']"
"Review: In ‘This Is Modern Art,’ Say It and Spray It",2018-06-05,article,Review,,['Theater']
I Learned I Have Sleep Apnea. It’s More Serious Than Many People Realize. ,2018-06-25,article,News,,"['Apnea (Sleep Disorder)', 'Sleep', 'Driver Distraction and Fatigue', 'Snoring', 'Traffic Accidents and Safety']"
"Piece by Piece, a Factory-Made Answer for a Housing Squeeze",2018-06-07,article,News,,"['Building (Construction)', 'Prefabricated Buildings', 'Real Estate and Housing (Residential)', 'Labor and Jobs', 'Productivity', 'Factories and Manufacturing', 'Affordable Housing', 'Organized Labor', 'Prices (Fares, Fees and Rates)']"
When Your Jeans Become a #MeToo Talking Point,2018-06-14,article,News,,"['Jeans (Apparel)', '#MeToo Movement', 'Sexual Harassment']"
‘Metrosexuals’ Were Just Straight Men Who Loved Self-Care. Right?,2018-06-15,article,News,,"['Homosexuality and Bisexuality', 'Fashion and Apparel']"
Candidate for Georgia Governor Bought Condo From Lobbyist,2018-06-14,article,News,,"['Elections, Governors', 'Lobbying and Lobbyists', 'Politics and Government', 'Appraisals and Valuation (Property)']"
