headline,date,doc_type,material_type,section,keywords
BUSINESS Digest,1979-06-07,article,Archives,,[]
"COMMODMES Wheat Futures Climb, Spurring Corn, Soybeans",1979-06-12,article,Archives,,[]
BUSINESS Digest,1979-06-12,article,Archives,,[]
BUSINESS,1979-06-09,article,Archives,,[]
Market Up As Trading Swells,1979-06-13,article,Archives,,"['STOCKS AND BONDS (GENERAL)', 'STOCK PRICES AND TRADING VOLUME']"
BUSINESS Dgest,1979-06-15,article,Archives,,[]
Commodities,1979-06-04,article,Archives,,['Gold']
NUMISMATICS,1979-06-24,article,Archives,,"['Numismatics', 'Numismatics']"
Commodities,1979-06-25,article,Archives,,[]
CURRENCY MARKETS,1979-06-14,article,Archives,,[]
