headline,date,doc_type,material_type,section,keywords
If You Have to Sell a Diamond Ring …,2019-09-15,article,News,,"['Jewels and Jewelry', 'Diamonds', 'your-feed-fashion']"
Back to School Before You Say ‘I Do’,2019-09-03,article,News,,"['Parties (Social)', 'Dancing', 'Flowers and Plants', 'Cooking and Cookbooks']"
"In Australia, Golf Homes With an Ocean View Are in Demand",2019-09-10,article,News,,"['Golf', 'Real Estate and Housing (Residential)']"
"$700,000 Homes in California",2019-09-30,article,News,,['Real Estate and Housing (Residential)']
​Job One for Saudis’ New Energy Chief: Picking Up the Pieces,2019-09-17,article,News,,"['Oil (Petroleum) and Gasoline', 'Royal Families']"
Which Health Policies Actually Work? We Rarely Find Out,2019-09-09,article,News,,"['Health Insurance and Managed Care', 'Medicaid', 'Clinical Trials']"
Trump and Sharpie’s Maker Land in Different Kind of Storm,2019-09-05,article,News,,"['United States Politics and Government', 'Pens and Pencils', 'Hurricane Dorian (2019)']"
California’s Luxury Dining Circuit: Delicious and Dull,2019-09-17,article,News,,"['Restaurants', 'Travel and Vacations']"
Melania Trump’s Say-Nothing State Dinner Dress,2019-09-21,article,News,,"['Fashion and Apparel', 'Dresses', 'United States Politics and Government', 'First Ladies (US)', 'your-feed-fashion']"
"In the Decade Since Madoff, Ponzi Schemers Try New Tactics",2019-09-23,article,News,,"['Ponzi and Pyramid Schemes', 'Securities and Commodities Violations', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)']"
