headline,date,doc_type,material_type,section,keywords
Swooning (and Bidding) for Something of Sinatra's,1995-12-02,article,News,,['Auctions']
Food Notes,1995-12-27,article,News,,"['Restaurants', 'Food']"
OLYMPICS: 200 Days to Atlanta 1996;Joyner Puts 1995 Behind Her,1996-01-01,article,News,,"['Track and Field', 'Olympic Games (1996)']"
Double-Duty Gifts at the Last Minute,1995-12-20,article,List,,"['Cooking and Cookbooks', 'Christmas', 'Gifts']"
"An Iced-Tea Spoon for Two, Please",1995-12-07,article,News,,"['Weddings and Engagements', 'Gifts']"
"Seville Journal;Brought to Knees, Arid Land Prays",1995-12-14,article,News,,"['Drought', 'Rationing and Allocation of Resources', 'Water']"
FUNDS WATCH;At the 401(k) Forefront,1995-12-31,article,News,,"['Mutual Funds', 'Pensions and Retirement Plans', 'Stocks and Bonds']"
"In the Region: Connecticut;For Duracell, a $70 Million, Self-Sufficient Hq",1995-12-17,article,News,,[]
Residential Resales,1995-12-31,article,List,,"['Sales', 'Mortgages', 'Housing', 'Prices (Fares, Fees and Rates)']"
"POSTINGS -- Russian Tea Room's New Look: The Kremlin, an Acrylic Bear and Maxwell's Plum; The Colors of the Czars",1995-12-31,article,News,,['Restaurants']
