headline,date,doc_type,material_type,section,keywords
"A Yacht, a Monet, a See-Through Piano: The U.S. Collects on a Fugitive’s Shopping Spree",2018-12-09,article,News,,"['Money Laundering', 'Fugitives']"
N.Y. Today: Selling Christmas Trees Beneath the Train Tracks,2018-12-14,article,briefing,,[]
"$3 Million Homes in Georgia, New York and Texas",2018-12-19,article,News,,['Real Estate and Housing (Residential)']
Why Go to the Chapel or City Hall When You Can Say ‘I Do’ Like Aquaman?,2018-12-19,article,News,,"['Weddings and Engagements', 'Marriages']"
Why Can’t Trump Find a Chief of Staff? Ask His Family,2018-12-10,article,News,,"['United States Politics and Government', 'Midterm Elections (2018)']"
What 8 Collectors Wore to a Fall Art and Design Fair,2018-12-06,article,News,,"['Fashion and Apparel', 'Collectors and Collections']"
Curtains for the Clintons,2018-12-01,article,Op-Ed,,['Presidential Election of 2020']
"Amid Ongoing Reorganization, U.S.A. Gymnastics Files for Bankruptcy",2018-12-06,article,News,,"['Gymnastics', 'Bankruptcies', 'Suits and Litigation (Civil)', 'Sex Crimes']"
Iran’s Economic Crisis Drags Down the Middle Class Almost Overnight,2018-12-26,article,News,,"['Embargoes and Sanctions', 'Iranian Rial (Currency)', 'Economic Conditions and Trends', 'Nuclear Weapons']"
Remember Bitcoin? Some Investors Might Want to Forget,2018-12-27,article,News,,"['Bitcoin (Currency)', 'Blockchain (Technology)', 'Virtual Currency']"
