headline,date,doc_type,material_type,section,keywords
Still Pricier Fountain Pens Gain Cachet and Profit,1995-05-10,article,News,,"['Sales', 'Pens and Pencils', 'PRICES', 'INDUSTRY PROFILES']"
A Bull Market With Strong Legs and 'a Long Way to Go',1995-05-07,article,News,,"['Biographical Information', 'Forecasts', 'Stocks and Bonds']"
Plates of A Summer Night,1995-05-18,article,News,,['Tableware']
"Dow Rises Only 6.91, Indicating the Market May Stall",1995-05-10,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average']"
Stocks Continue to Climb Despite More Inflation Hints,1995-05-13,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average']"
"NOTICED;
For the Chic-of-Mouth",1995-05-14,article,News,,['TERMS NOT AVAILABLE']
Supreme Court Roundup; Justices Forgo Opportunity to Expand on Recent Commerce-Clause Ruling in Gun Case,1995-05-02,article,News,,"['ADVERTISING', 'FREEDOM OF SPEECH', 'Firearms', 'United States Economy', 'Interstate Commerce', 'Racketeering and Racketeers', 'Education and Schools', 'Gold', 'Religion and Churches', 'Alcoholic Beverages', 'Church-State Relations', 'Crime and Criminals', 'Decisions and Verdicts']"
Patterns,1995-05-09,article,News,,['APPAREL']
Dollar Closes Out Best Week In Four Years,1995-05-13,article,,,[]
"VOICES: FROM THE DESK OF;
A Dabbler's Guide To the Futures Market",1995-05-14,article,News,,['FUTURES TRADING']
