headline,date,doc_type,material_type,section,keywords
Bruce Gold's American Experience,1979-03-11,article,Archives,,['BOOK REVIEWS']
COMMODITIES Metals Prices Increase; Hog Futures Decline,1979-03-27,article,Archives,,[]
Cash Prices,1979-03-06,article,Archives,,[]
CURRENCY MARKETS,1979-03-29,article,Archives,,[]
"CURRENCY MARKETS Dollar Down in Tokyo, Unchanged in New York",1979-03-15,article,Archives,,[]
Prices Paid To Farmers Climb 3%,1979-03-01,article,Archives,,"['FOOD AND GROCERY TRADE', 'PRICES', 'AGRICULTURE AND AGRICULTURAL PRODUCTS', 'PRICES', 'COMMERCE']"
St. Thomas's Prices: Not All Cheaper Than New York's,1979-03-11,article,Archives,,"['RETAIL STORES AND TRADE', 'RETAIL STORES AND TRADE', 'Travel and Vacations']"
CREDIT MARKETS Treasury Prices Gain Strongly,1979-03-06,article,Archives,,[]
CURRENCY MARKETS Dollar Trading Mixed,1979-03-06,article,Archives,,[]
A Career by Design —And by Accident,1979-03-11,article,Archives,,[]
