headline,date,doc_type,material_type,section,keywords
Morning Agenda: Stocks Decline on North Korea Tensions,2017-08-09,article,News,,[]
Why the Valyrian Steel Dagger Is Important,2017-08-08,article,News,,[]
"$650,000 Homes in Connecticut, North Carolina and Texas",2017-08-16,article,News,,['Real Estate and Housing (Residential)']
"The Messy, Confusing Future of TV? It’s Here",2017-08-13,article,News,,"['Television', 'Online Advertising', 'Computers and the Internet', 'Video Recordings, Downloads and Streaming']"
The Best Infant Car Seats,2017-08-21,wirecutterarticle,,,[]
"Prime Parking Spaces for People, Not Cars",2017-08-24,article,News,,"['Parking', 'Pedestrian Malls', 'Infrastructure (Public Works)']"
Meet Republicans Halfway,2017-08-02,article,Op-Ed,,"['United States Politics and Government', 'Law and Legislation']"
A Birkin Bag in the Box Is Worth a Lifetime of Debt,2017-08-21,article,News,,"['Pawnbroking', 'Handbags and Purses']"
When Will the Tech Bubble Burst?,2017-08-05,article,Op-Ed,,"['Computers and the Internet', 'United States Economy', 'Stocks and Bonds', 'Dow Jones Stock Average']"
"Russians Compete at World Championships, but Not for Their Country",2017-08-14,article,News,,"['Doping (Sports)', 'Track and Field']"
