headline,date,doc_type,material_type,section,keywords
Russians Wade Into the Snow to Seek Treasure From the Sky,2013-02-18,article,News,,['Meteors and Meteorites']
Pouring Ribbons,2013-02-13,article,Review,,"['Bars and Nightclubs', 'Cocktails']"
Moveable Feast Macroeconomics,2013-02-01,article,News,,[]
Analyzing the Couch,2013-02-28,article,News,,"['Furniture', 'Interior Design and Furnishings']"
"Obsessions in Color, Form and Glass",2013-02-22,article,News,,"['Ceramics and Pottery', 'Glass', 'Shopping and Retail']"
It’s All in the Cards,2013-02-15,article,News,,"['Banking and Financial Institutions', 'European Sovereign Debt Crisis (2010- )', 'Labor and Jobs']"
Using Silly Cat Videos to Sell Litter-Box Products,2013-02-12,article,News,,"['Cats', 'Online Advertising', 'Video Recordings and Downloads', 'Web-Original Programming', 'Advertising and Marketing']"
U.S. Women Beat Scotland in Sermanni’s Debut,2013-02-10,article,News,,['Soccer']
Her Crowning Glory in a Box,2013-02-27,article,News,,"['Wigs', 'Hair', 'Women and Girls', 'Celebrities']"
Zenith Rediscovers Its Pioneering Spirit,2013-02-25,article,News,,"['Watches and Clocks', 'Luxury Goods']"
