headline,date,doc_type,material_type,section,keywords
Our Towns; Can't Recall 11th President? Got a Dollar?,2004-06-02,article,News,,"['United States Politics and Government', 'Presidents and Presidency (US)', 'History']"
Rome under glass:antiquity's miracle material,2004-06-26,article,,,[]
Brazil Mining Giant Said to Seek Noranda Stake,2004-06-17,article,News,,"['Nickel', 'Mines and Mining', 'Mergers, Acquisitions and Divestitures', 'Copper, Brass and Bronze', 'Zinc', 'Aluminum']"
A passion for posters:the secret life of a French collector,2004-06-05,article,,,[]
Second Test Indicates Animal Did Not Have Mad Cow Disease,2004-07-01,article,News,,"['Livestock', 'Mad Cow Disease (Bovine Spongiform Encephalopathy)', 'Tests and Testing', 'Food Contamination and Poisoning']"
"Thwarted at High Altitudes, Plasma TV Tries to Adapt",2004-07-01,article,News,,"['Television', 'ALTITUDE, EFFECTS OF']"
'The Intended',2004-06-25,article,Review,,"['MOTION PICTURES', 'Reviews']"
From the Sword to the Pen,2004-06-06,article,Review,,"['Reviews', 'Books and Literature']"
Asian Scavengers Feed China's Hunger for Steel,2004-06-11,article,News,,"['International Trade and World Market', 'Steel and Iron', 'Economic Conditions and Trends', 'Recycling of Waste Materials']"
Sacramento,2004-06-27,article,News,,['Travel and Vacations']
