headline,date,doc_type,material_type,section,keywords
Orioles’ Strong Hand Has No Ace (Yet),2014-08-02,article,News,,['Baseball']
Affordable Housing Draws Middle Class to Inland Cities,2014-08-04,article,News,,"['Affordable Housing', 'Real Estate and Housing (Residential)', 'Urban Areas']"
"On Auction Block: Personal Treasures, Long Abandoned at the Bank",2014-08-08,article,News,,"['Auctions', 'Collectors and Collections', 'Banking and Financial Institutions']"
Scratches in the Art Market Gilding,2014-08-22,article,News,,"['Auctions', 'Art', 'Museums', 'Collectors and Collections', 'Art Basel (Festival)']"
The Obscure Drug With a Growing Medicare Tab,2014-08-04,article,News,,"['Acthar (Drug)', 'Drugs (Pharmaceuticals)', 'Health Insurance and Managed Care', 'Medicare', 'Medicine and Health', 'Seizures (Medical)']"
Start-Ups Accrue Funding in Case of Leaner Times,2014-09-01,article,News,,"['Computers and the Internet', 'Start-ups', 'Venture Capital']"
"Kemp Is Repositioned and Revitalized, but Staying Put With the Dodgers",2014-08-02,article,News,,['Baseball']
Candy Crush Maker’s Post-I.P.O. Woes Continue With Tough Quarter,2014-08-13,article,News,,"['Computer and Video Games', 'Initial Public Offerings']"
"A Broadcaster Knows Long Shots, and Not Just Those of the Slap Variety",2014-08-09,article,News,,"['Horse Racing', 'Hockey, Ice']"
Your Friday Briefing,2014-08-01,article,News,,[]
