headline,date,doc_type,material_type,section,keywords
"BUSINESS DIGEST: WEDNESDAY, AUGUST 13, 1986",1986-08-13,article,Summary,,[]
"BUSINESS DIGEST: SATURDAY, AUGUST 30, 1986",1986-08-30,article,Summary,,['News and News Media']
"BUSINESS DIGEST: FRIDAY, AUGUST 29, 1986",1986-08-29,article,Summary,,[]
"NUMISMATICS;
SOUTH KOREA DESIGNS COINS FOR THE OLYMPICS",1986-08-10,article,News,,['TERMS NOT AVAILABLE']
Central Soya Picks Its Chief Executive,1986-08-12,article,News,,['Appointments and Executive Changes']
From Sand to Street,1986-08-06,article,News,,['APPAREL']
"BUSINESS DIGEST: FRIDAY, AUGUST 1, 1986",1986-08-01,article,Summary,,['United States Economy']
"NUMISMATICS;
FROM AUSTRALIA AND SWITZERLAND",1986-08-31,article,News,,"['Numismatics', 'Gold']"
A Disappointment From the Deep,1986-08-17,article,News,,['Ships and Shipping']
"NUMISMATICS;
COIN SHOW TO OPEN IN MILWAUKEE",1986-08-03,article,News,,['Numismatics']
