headline,date,doc_type,material_type,section,keywords
Little Gold in Coloring Old Films,1989-11-11,article,News,,"['MOTION PICTURES', 'COMPANY AND ORGANIZATION PROFILES', 'INDUSTRY PROFILES', 'Color']"
ACID RAIN MEASURE WOULD DIVIDE COST,1989-11-03,article,News,,"['SULFUR DIOXIDE', 'Acid Rain', 'Law and Legislation', 'FACTORIES AND INDUSTRIAL PLANTS', 'Air Pollution']"
The Price of a Fur Goes Down When It Should Be Going Up,1989-11-04,article,News,,"['PRICES', 'Fur']"
BUSINESS DIGEST,1989-11-30,article,Summary,,['NO INDEX TERMS']
"After 30 Years, Japan Patents Chips",1989-11-26,article,Summary,,['NO INDEX TERMS']
Business Digest,1989-11-23,article,Summary,,['NO INDEX TERMS']
Computer Trading Put on a Leash,1989-11-05,article,Summary,,['NO INDEX TERMS']
"BUSINESS DIGEST, SATURDAY, NOVEMBER 4, 1989",1989-11-04,article,Summary,,['NO INDEX TERMS']
Business Digest,1989-11-28,article,Summary,,['NO INDEX TERMS']
"BUSINESS DIGEST: SATURDAY, NOVEMBER 25, 1989",1989-11-25,article,Summary,,['NO INDEX TERMS']
