headline,date,doc_type,material_type,section,keywords
"Museum Pieces on Loan From Crimea Belong to Ukraine, Dutch Court Rules",2016-12-14,article,News,,"['Museums', 'Decisions and Verdicts', 'Art', 'Archaeology and Anthropology']"
"Sichuan Dry Pot, from Subtle to Scorching, at MaLa Project",2016-12-01,article,Review,,"['Restaurants', 'Chinese Food (Cuisine)']"
19 Things That Happened for the First Time in 2016,2016-12-06,article,Op-Ed,,['Economic Conditions and Trends']
The Trials of a Boxing Romantic,2016-12-16,article,News,,"['Boxing', 'Books and Literature', 'Athletics and Sports']"
Harnessing the U.S. Taxpayer to Fight Cancer and Make Profits,2016-12-19,article,News,,"['Immunotherapy', 'Cancer', 'Immune System', 'Drugs (Pharmaceuticals)', 'Inventions and Patents', 'Series']"
"On New Year’s Eve, We Wear Glitter",2016-12-21,multimedia,Interactive Feature,,"['New Year', 'Fashion and Apparel']"
Fast Food Damnation,2016-12-09,article,News,,[]
A Men’s Wear Store Made for Men,2016-12-28,article,News,,"['Shopping and Retail', 'Men and Boys', 'Fashion and Apparel']"
What 8 New Yorkers Wore While Hunting for Christmas Trees,2016-12-08,article,News,,"['Fashion and Apparel', 'Christmas Trees', 'Shopping and Retail']"
Dear Wirecutter: Are Artificial Firelogs Any Good?,2016-12-15,wirecutterarticle,,,[]
