headline,date,doc_type,material_type,section,keywords
A Big New Bidder for Lac Minerals,1994-07-26,article,News,,"['Mergers, Acquisitions and Divestitures']"
GOODWILL GAMES;Russians Are Getting In the Spirit,1994-07-31,article,News,,['GOODWILL GAMES']
Shell Unit Sells Assets To Gencor,1994-07-27,article,News,,"['Mergers, Acquisitions and Divestitures']"
"From Travel Insurance to Restaurant Advice, Extra Benefits Lure Customers",1994-07-30,article,,,[]
Heavy Metal Economics,1994-07-24,article,Review,,['BOOK REVIEWS']
INVESTING;Shoestring Arbitrage With Discounted Stock,1994-07-02,article,News,,"['Short Selling', 'Discount Selling', 'Stocks and Bonds', 'ARBITRAGE']"
FUTURES MARKETS;Copper Climbs on Reports Of Shrinking Inventories,1994-07-02,article,News,,"['Copper, Brass and Bronze', 'FUTURES TRADING']"
"Stocks Decline, With the Dow Falling 6.15",1994-07-12,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average']"
Mutual Funds; How 'Stock Picks' Fared Over a Year,1994-07-17,article,News,,"['INVESTMENT STRATEGIES', 'Mutual Funds', 'Stocks and Bonds']"
Mutual Funds; Banking Strong Through Turmoil,1994-07-03,article,News,,"['Mutual Funds', 'Stocks and Bonds']"
