headline,date,doc_type,material_type,section,keywords
Jewelers rediscover silver,2008-12-11,article,News,,[]
Move to increase lending in homes lifts Wall St.,2008-12-07,article,News,,[]
Weak GDP report hits U.S. stocks,2008-12-08,article,News,,[]
U.S. stocks rally as bond insurers' ratings are affirmed,2008-12-05,article,News,,[]
U.S. stocks slip amid fears of Madoff fallout,2008-12-15,article,News,,[]
Twisted Santa,2008-12-04,article,News,,"['Gifts', 'Jewels and Jewelry', 'APPAREL']"
"The High Low | Lauren by Ralph Lauren Bracelet, $78",2008-12-01,article,Web Log,,[]
What Gives | Gifting the Style Guy,2008-12-01,article,Web Log,,[]
"The High Low | Lauren by Ralph Lauren Bracelet, $78",2008-12-01,article,News,,[]
What Gives | Gifting the Style Guy,2008-12-01,article,News,,[]
