headline,date,doc_type,material_type,section,keywords
Archer Daniels Promotes Two High-Level Executives,1996-11-01,article,News,,"['Appointments and Executive Changes', 'Boards of Directors']"
BUSINESS DIGEST,1996-11-29,article,Summary,,[]
In Living Cardboard,1996-11-17,article,Review,,"['Reviews', 'Books and Literature']"
A Generic Fighter Plane,1996-11-19,article,Editorial,,"['Airlines and Airplanes', 'Military Aircraft', 'Editorials']"
"The $13,900 Model (No, It's Not a Car)",1996-12-01,article,News,,['Ovens and Stoves']
Just Speculating,1996-11-10,article,Review,,"['Reviews', 'United States Economy', 'Books and Literature']"
Those 403(b) Blues Fade at Nonprofits,1996-11-17,article,News,,"['Nonprofit Organizations', 'Organizations, Societies and Clubs', 'Pensions and Retirement Plans', 'Law and Legislation']"
NEWS SUMMARY,1996-11-25,article,Summary,,[]
Q AND A,1996-11-17,article,Question,,[]
1854 West End Theater Reopens,1996-12-01,article,News,,"['Historic Buildings and Sites', 'LYCEUM (LONDON THEATER)', 'Restoration and Rehabilitation', 'Theater']"
