headline,date,doc_type,material_type,section,keywords
"Apps to Plan Summer Road Trips, Down to the Pit Stops",2014-07-02,article,News,,"['Mobile Applications', 'Road Trips', 'Roads and Traffic', 'Hotels and Travel Lodgings', 'Travel and Vacations']"
Today in Small Business: Buy Nearby Guy,2014-07-30,article,News,,"['Small Business', 'United States Economy']"
Pope Francis Names New Leadership for Vatican Bank,2014-07-09,article,News,,[]
Addicted to Inflation,2014-07-18,article,Op-Ed,,"['Inflation (Economics)', 'Conservatism (US Politics)', 'United States Economy', 'United States Politics and Government']"
A Storied Ceramics Workshop Where Visiting Artists Can Get to Work,2014-07-11,article,News,,"['Art', 'Ceramics and Pottery', 'Factories and Manufacturing', 'Sculpture']"
A Homeowner’s Refusal to Cash Out in a Gambling Town Proves Costly,2014-07-21,article,News,,"['Real Estate and Housing (Residential)', 'Casinos', 'Eminent Domain', 'Auctions']"
Flying Scottish Colors at Commonwealth Games,2014-07-22,article,News,,['Commonwealth Games']
Cash Crops With Dividends: Financiers Transforming Strawberries Into Securities,2014-07-22,article,News,,"['Agriculture and Farming', 'Banking and Financial Institutions', 'Hedge Funds']"
Hotel Review: Hotel Lamée in Vienna,2014-07-30,article,News,,"['Travel and Vacations', 'Hotels and Travel Lodgings']"
Your Friday Briefing,2014-08-01,article,News,,[]
