headline,date,doc_type,material_type,section,keywords
World Gold,1979-12-07,article,Archives,,[]
World Gold,1979-12-13,article,Archives,,[]
World Gold,1979-12-20,article,Archives,,[]
World Gold,1979-12-28,article,Archives,,[]
World Gold,1979-12-12,article,Archives,,[]
World Gold,1979-12-11,article,Archives,,[]
I.M.F. Gold Sale Jan. 2,1979-12-14,article,Archives,,"['Gold', 'Currency', 'INTERNATIONAL MONETARY SYSTEM']"
I.M.F. Gold Sale Averages $426.37,1979-12-06,article,Archives,,"['Foreign Aid', 'GENERAL AND MULTINATIONAL FOREIGN AID', 'Currency', 'INTERNATIONAL MONETARY SYSTEM']"
COMMODITIES Futures Up For Gold And Silver,1979-12-12,article,Archives,,[]
CURRENCY MARKETS,1979-12-07,article,Archives,,"['Gold', 'Currency', 'INTERNATIONAL MONETARY SYSTEM']"
