headline,date,doc_type,material_type,section,keywords
BUSINESS Digest,1978-06-22,article,Archives,,[]
CURRENCY MARKETS,1978-06-20,article,Archives,,['Currency']
Dollar Falls To a Low In Tokyo,1978-06-14,article,Archives,,"['COMMERCE', 'Currency']"
BUSINESS Digest,1978-06-29,article,Archives,,[]
CURRENCY MARKETS,1978-06-22,article,Archives,,"['Currency', 'Currency']"
Jewelry Designs For the Younger Set,1978-06-21,article,Archives,,[]
I.M.F. Raises $196 Million,1978-06-08,article,Archives,,"['ECONOMIC CONDITIONS AND TRENDS (GENERAL)', 'Currency']"
Franc Soars Amid Talk of Float,1978-07-01,article,Archives,,['Currency']
CURRENCYMARKETS,1978-06-15,article,Archives,,[]
Economic Scene,1978-06-01,article,Archives,,['Economics']
