headline,date,doc_type,material_type,section,keywords
RUSSIANS VIE FOR 'LUXURIES' AS PRICES RISE,1981-09-15,article,News,,"['SAVINGS ACCOUNTS AND CERTIFICATES', 'PRICES', 'Banks and Banking']"
Washington Watch; Discordance I n Gold Study,1981-09-14,article,News,,"['Reform and Reorganization', 'United States Politics and Government', 'Taxation', 'Gold', 'Regulation and Deregulation of Industry']"
BRITONS SEEK 6 TONS OF GOLD IN WAR WRECK,1981-09-14,article,News,,"['Ships and Shipping', 'Gold']"
Around the World; Britain and Soviet Seek Gold on Ship Sunk in '42,1981-09-12,article,News,,"['Ships and Shipping', 'Gold']"
HIGH-STYLE BOOTS AT POPULAR PRICES,1981-09-01,article,News,,"['Shoes and Boots', 'PRICES']"
Robert M. Dunn Jr.,1981-09-09,article,Op-Ed,,"['United States Economy', 'Gold', 'MONEY SUPPLY (ECONOMIC INDICATOR)']"
N.F.L. FINDS GOLD AT PITT,1981-09-13,article,News,,"['College Athletics', 'Football']"
"FAST DELIVERY, WHEN THE COST IS WORTH IT",1981-09-26,article,News,,"['FREIGHT', 'Postal Service']"
"SATURDAY, SEPTEMBER 26, 1981; Markets",1981-09-26,article,News,,['NO INDEX TERMS']
"SATURDAY, SEPTEMBER 19, 1981; The Economy",1981-09-19,article,News,,['NO INDEX TERMS']
