headline,date,doc_type,material_type,section,keywords
"In Dapper Croatia, Accessorizing in Style",2021-11-24,article,News,,"['Fashion and Apparel', 'Hats and Caps', 'Umbrellas', 'Ties (Apparel)', 'Handicrafts']"
Stephen Colbert Riffs on Biden’s Order to Release Oil Reserves,2021-11-24,article,News,,['Television']
Presents With a Bit of Back Story,2021-11-19,article,News,,"['Gifts', 'Shopping and Retail', 'E-Commerce', 'Luxury Goods and Services', 'your-feed-fashion']"
The U.S. trade deficit rose as a surge of imports bogged down the supply chain.,2021-11-04,article,News,,"['International Trade and World Market', 'United States Economy']"
Yuta Ishihara Wants His Jewelry Designs to Last,2021-11-22,article,News,,"['Jewels and Jewelry', 'Gold', 'Pearls', 'Content Type: Personal Profile', 'your-feed-fashion']"
"A Collector Will Share His Watches, but Not His Name. At Least Not Yet.",2021-11-01,article,News,,"['Watches and Clocks', 'Collectors and Collections', 'Museums']"
"As a Historian, She Follows the Clues",2021-11-22,article,News,,"['Jewels and Jewelry', 'Collectors and Collections', 'your-feed-fashion']"
Just How Optimized Can Your Life Be?,2021-11-24,article,News,,"['Mobile Applications', 'Books and Literature']"
Bloodied Venezuelan Opposition Returns to Elections for First Time in Years,2021-11-19,article,News,,"['Elections', 'Politics and Government', 'Economic Conditions and Trends', 'Voting and Voters', 'Political Prisoners', 'Human Rights and Human Rights Violations', 'Content Type: Personal Profile']"
Subway Fare Increase ‘Off the Table’ Thanks to Infrastructure Bill,2021-11-15,article,News,,"['Prices (Fares, Fees and Rates)', 'Subways', 'Transit Systems', 'Infrastructure Investment and Jobs Act (2021)', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']"
