headline,date,doc_type,material_type,section,keywords
Israeli’s Blunder Sets Up a Surprising Finish,2010-01-17,article,News,,['Chess']
Decline in Shipping Business Puts Squeeze on Ports,2010-01-16,article,News,,"['Ships and Shipping', 'Falls', 'Prices (Fares, Fees and Rates)']"
A Smaller Player Mounts Must-See Events,2010-01-11,article,News,,"['Electronics', 'Conventions and Conferences', 'Wireless Communications', 'International Consumer Electronics Show']"
Dressing for Success on Valentine's Day,2010-01-28,article,Review,,"[""Valentine's Day"", 'Fashion and Apparel', 'Shopping and Retail', 'Lingerie and Underwear']"
"In Arizona, a Stream of Illegal Immigrants From China",2010-01-23,article,News,,"['Illegal Immigrants', 'Immigration and Emigration', 'Smuggling']"
"DVD Pirates, Matey",2010-01-01,article,Question,,"['Transit Systems', 'Bicycles and Bicycling', 'DVD (Digital Versatile Disc)']"
Wall Street Closes Higher After Bankers Testify,2010-01-14,article,,,['Nasdaq Composite Index']
Students Face a Class Struggle at State Colleges,2010-01-24,article,News,,"['Budgets and Budgeting', 'Education and Schools', 'Colleges and Universities', 'Prices (Fares, Fees and Rates)']"
Argentina’s Talented Angel,2010-01-14,article,,,[]
Dialing in a Plan: The Times Installs a Meter on Its Future,2010-01-20,article,Web Log,,[]
