headline,date,doc_type,material_type,section,keywords
  NEW FROM BRITAIN,1985-12-01,article,News,,"['Numismatics', 'Gold']"
JOHNSON MATTHEY,1985-11-30,article,News,,"['Frauds and Swindling', 'Banks and Banking']"
  WRAPPING THE BODY IN SCARF AND BELT,1985-11-27,article,News,,['APPAREL']
"NUMISMATICS;

CANADA INITIATES ITS OLYMPIC OIN PROGRAM",1985-11-10,article,News,,"['Numismatics', 'Gold', 'Auctions']"
"NUMISMATICS;

A HIGH POWERED AUCTION",1985-11-03,article,News,,['Numismatics']
Profiles in Warmth and Hospitality,1985-11-22,article,News,,"['Christmas Trees', 'Christmas']"
  NEW ISRAELI COINS,1985-11-17,article,News,,['Numismatics']
  INTERNATIONAL CONVENTION,1985-11-24,article,News,,"['Numismatics', 'Auctions']"
INDIAN ELEGANCE AT A PARTY AT BERGDORF'S,1985-11-27,article,News,,"['Parties (Social)', 'APPAREL']"
Currency Options Offer A Dollar Play,1985-11-17,article,News,,"['Currency', 'FINANCES, PERSONAL', 'SPECIAL SECTIONS']"
