headline,date,doc_type,material_type,section,keywords
BUSINESS DIGEST,1991-03-27,article,Summary,,['NO INDEX TERMS']
Budget Politics: How One Agency Copes - A special report.; Delicate Balance: Park Priorities and Cost Cutting,1991-03-12,article,Special Report,,"['Finances', 'Budgets and Budgeting']"
Chardonnays Are Dominant In New York Wine Contest,1991-03-27,article,News,,['TERMS NOT AVAILABLE']
Nicaragua Devalues Money To Stem Economic Collapse,1991-03-05,article,News,,"['Reform and Reorganization', 'PRICES', 'Oil (Petroleum) and Gasoline', 'Wages and Salaries', 'Currency', 'Economic Conditions and Trends', 'Food', 'Government Employees']"
Christian Retreat Will Halt Membership Card Program,1991-03-17,article,News,,[]
Stocks Soar 23.3% in Buenos Aires,1991-03-22,article,News,,['TERMS NOT AVAILABLE']
"Palace Theater Spruced Up, Ready to Light Up",1991-03-28,article,News,,"['Theaters (Buildings)', 'Restoration and Rehabilitation', 'PALACE THEATER (NYC)']"
BUSINESS DIGEST,1991-03-01,article,Summary,,['NO INDEX TERMS']
America Needs Alaska's Oil,1991-04-01,article,Op-Ed,,"['International Trade and World Market', 'Oil (Petroleum) and Gasoline']"
F.C.C. TAKES STEPS TO COMBAT ABUSES ON '900' NUMBERS,1991-03-15,article,News,,"['Frauds and Swindling', 'TELEPHONES', 'Children and Youth', 'Consumer Protection', 'Regulation and Deregulation of Industry', 'RATES']"
