headline,date,doc_type,material_type,section,keywords
Dollar Up As Gold Plunges,1987-08-08,article,News,,"['Currency', 'Golf']"
South African Black Miners Start Strike in Gold and Coal Industries,1987-08-10,article,News,,"['LABOR', 'Mines and Mining', 'BLACKS (NON-US)', 'Wages and Salaries', 'Gold', 'Politics and Government', 'Coal', 'Strikes']"
Dallhold Set to Buy 90% of St. Joe Gold,1987-08-26,article,News,,"['Mergers, Acquisitions and Divestitures']"
"In Iran, Food Is Better Gift Than Gold",1987-08-19,article,News,,"['Gold', 'Economic Conditions and Trends', 'Food']"
Oil Prices Decline on Gulf Calm,1987-08-06,article,News,,"['PRICES', 'Oil (Petroleum) and Gasoline', 'FUTURES TRADING']"
Late Rally Lifts Bond Prices,1987-08-15,article,News,,"['BOND PRICES AND TRADING VOLUME', 'Government Bonds']"
Swedish Bone China In Whites and Golds,1987-08-02,article,News,,"['Tableware', 'Ceramics and Pottery', 'Travel and Vacations']"
"Some Pharmacies Quote Prices Far Over Cost for AIDS Drug, New York Study Finds",1987-08-21,article,News,,"['AZT (DRUG)', 'PRICES', 'ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS)', 'DRUGS AND DRUG TRADE']"
Oil Prices Rise As Fears Grow Of Cut in Supply,1987-08-04,article,News,,"['International Trade and World Market', 'PRICES', 'Oil (Petroleum) and Gasoline', 'GASOLINE']"
Mining Is Still Key to South African Economy,1987-08-25,article,News,,"['LABOR', 'BLACKS (NON-US)', 'Gold', 'Coal', 'Strikes', 'Economic Conditions and Trends']"
