headline,date,doc_type,material_type,section,keywords
Impressed in the South,2013-03-27,article,News,,"['Civil War (US) (1861-65)', 'Desertion (Military)', 'Prices (Fares, Fees and Rates)', 'Shortages']"
Drawing Inspiration From Natural Beauty and Artistic Mastery,2013-03-18,article,News,,"['Jewels and Jewelry', 'Luxury Goods']"
"A Work in Progress, From the Inside Out",2013-03-05,article,Review,,['Movies']
Are You Sticking With Expensive Financing Too Long?,2013-03-14,article,News,,"['Banking and Financial Institutions', 'Small Business']"
German Central Bank Doubles Reserves,2013-03-12,article,News,,"['European Sovereign Debt Crisis (2010- )', 'Euro (Currency)', 'Banking and Financial Institutions']"
"Short of Money, Egypt Sees Crisis on Fuel and Food",2013-03-30,article,News,,"['Economic Conditions and Trends', 'International Trade and World Market', 'Shortages', 'Food', 'Oil (Petroleum) and Gasoline']"
"What You Get for ... $800,000",2013-03-20,article,News,,['Real Estate and Housing (Residential)']
A Market Shift Toward the Positive,2013-03-26,article,Question,,['Stocks and Bonds']
Capitol Redux,2013-03-09,multimedia,Interactive Feature,,"['State Legislatures', 'Restoration and Renovation']"
State-Wrecked: The Corruption of Capitalism in America,2013-03-30,article,Op-Ed,,"['United States Economy', 'Federal Budget (US)', 'Banking and Financial Institutions', 'National Debt (US)', 'Subprime Mortgage Crisis', 'United States Politics and Government', 'Stocks and Bonds']"
