headline,date,doc_type,material_type,section,keywords
Swiss Watchmakers Jolted by Currency Shock,2015-01-22,article,News,,"['Watches and Clocks', 'Swiss Franc (Currency)']"
"Down an Unlikely Path, a Culinary Hideaway",2015-01-10,article,Review,,['Restaurants']
White House Seeks to Limit Health Law’s Tax Troubles,2015-01-31,article,News,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'Tax Credits, Deductions and Exemptions', 'Tax Preparers and Preparation', 'Federal Taxes (US)']"
An Opulent Bet on Housing ,2015-01-17,article,News,,"['Real Estate and Housing (Residential)', 'High Net Worth Individuals']"
Digital Generation Meets Analog Style,2015-01-19,article,Special Report,,"['Watches and Clocks', 'Youth']"
"$1,050,000 Homes in Dallas, Oregon and Maine",2015-01-21,article,News,,['Real Estate and Housing (Residential)']
Over-the-Top Amenities: Sweating the Details,2015-01-28,article,News,,"['Real Estate and Housing (Residential)', 'Saunas and Sweat Lodges', 'Luxury Goods and Services', 'Swimming Pools']"
"An Artist in Her Element, a Garret",2015-01-16,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Art']"
An Indian Modernist With a Global Gaze ,2015-01-01,article,Review,,['Art']
An Unusual Home Amid Singapore’s High Rises,2015-01-08,article,News,,['Real Estate and Housing (Residential)']
