headline,date,doc_type,material_type,section,keywords
"Personal Shopper; For Sultry Summer, Windows in Dishabille",1998-07-23,article,News,,['CURTAINS']
Foreign Affairs; The Big-Ship Economy,1998-07-21,article,Op-Ed,,['United States Economy']
Goodwill Games Fail to Draw Crowd,1998-08-01,article,News,,['GOODWILL GAMES']
Zimbabweans (Minus the President) Brace for a Crisis,1998-07-05,article,News,,"['Agriculture', 'Currency', 'Prices (Fares, Fees and Rates)', 'Strikes', 'Economic Conditions and Trends']"
Fierce Run on the Rand by Speculators Shocks South Africa,1998-07-01,article,News,,"['Currency', 'Interest Rates', 'Credit', 'Economic Conditions and Trends']"
A Report From the Eye Of the Internet Firestorm,1998-07-05,article,News,,"['COMPUTERS AND INFORMATION SYSTEMS', 'INTERNET AND WORLD WIDE WEB', 'Books and Literature']"
"Hop On, Hop Off: The Unlimited Metrocard Arrives",1998-07-03,article,News,,"['Subways', 'Buses', 'Prices (Fares, Fees and Rates)', 'Transit Systems']"
"Foreign Investors Need Good News, Top Russian Official Says",1998-07-29,article,News,,"['Foreign Investments', 'Finances', 'Stocks and Bonds', 'Economic Conditions and Trends']"
Seattle: Latte for a Little,1998-07-05,article,News,,['Travel and Vacations']
Butte Breaks New Ground to Mop Up a World-Class Mess,1998-07-21,article,News,,"['Water Pollution', 'Mines and Mining', 'Hazardous and Toxic Substances', 'Copper, Brass and Bronze', 'Superfund', 'Waste Materials and Disposal']"
