headline,date,doc_type,material_type,section,keywords
"Dave Sime Dies at 79; World’s Fastest Sprinter, but Far From Its Luckiest",2016-01-16,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Track and Field', 'Olympic Games']"
A Home With a View That Turner Once Loved,2016-01-07,article,News,,['Real Estate and Housing (Residential)']
San Francisco Office Rents Pass Manhattan as Most Expensive in Country,2016-01-08,article,News,,"['Real Estate (Commercial)', 'Renting and Leasing (Real Estate)']"
"Canadiens’ Mike Condon, Inspired by a Boston-Area Hero, Stifles Bruins",2016-01-02,article,News,,"['Hockey, Ice']"
"Golden Mao Statue in China, Nearly Finished, Is Brought Down by Criticism",2016-01-08,article,News,,['Monuments and Memorials (Structures)']
Decoding Airline Fare Classes to Make the Most of Your Miles,2016-01-12,article,News,,"['Airlines and Airplanes', 'Customer Loyalty Programs', 'Frequent Flier Programs', 'Travel and Vacations', 'Prices (Fares, Fees and Rates)']"
Robust 4th Quarter Couldn’t Redeem Market After an Anxious Year,2016-01-15,article,News,,"['Stocks and Bonds', 'Mutual Funds', 'Economic Conditions and Trends', 'Personal Finances', 'Credit and Debt', 'International Trade and World Market', 'Interest Rates', 'Banking and Financial Institutions', ""Standard & Poor's 500-Stock Index""]"
My First Police Stop,2016-02-01,article,News,,"['Poetry and Poets', 'Police', 'Education (K-12)']"
"By Finding a New Home for Carriage Horses, Solving a Problem That Doesn’t Exist",2016-01-22,article,News,,"['Horses', 'Animal Abuse, Rights and Welfare', 'Carriages']"
Hotel and Tour News: Ski Deals in Colorado and New York,2016-01-15,article,News,,"['Travel and Vacations', 'Automobiles', 'Skiing', 'Hotels and Travel Lodgings']"
