headline,date,doc_type,material_type,section,keywords
"JPG File Sells for $69 Million, as ‘NFT Mania’ Gathers Pace",2021-03-11,article,News,,"['Nonfungible Tokens (NFTs)', 'Art', 'Auctions', 'Computers and the Internet', 'Virtual Currency', 'Collectors and Collections']"
Wirecutter Picks Can Be Expensive. Here’s Why.,2021-03-11,wirecutterarticle,,,[]
‘It Felt Like Deception’: An Elite N.Y.C. Hospital Charges Huge Virus Test Fees,2021-03-30,article,News,,"['Tests (Medical)', 'Emergency Medical Treatment', 'Coronavirus (2019-nCoV)', 'Hospitals', 'Health Insurance and Managed Care', 'Prices (Fares, Fees and Rates)']"
A program that boosted rapid testing in Canada will try to do the same in the U.S.,2021-03-24,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)']"
Suburban Home Sales Soar in the New York Region,2021-03-05,article,News,,"['Real Estate and Housing (Residential)', 'Prices (Fares, Fees and Rates)', 'Quarantine (Life and Culture)']"
Here’s How Bored Rich People Are Spending Their Extra Cash,2021-03-20,article,News,,"['High Net Worth Individuals', 'Collectors and Collections', 'Luxury Goods and Services', 'Antique and Classic Cars', 'Auctions', 'Watches and Clocks', 'Trading Cards', 'Sneakers', 'Quarantine (Life and Culture)', 'your-feed-fashion']"
Now Making Electric Bikes: Car and Motorcycle Companies,2021-03-04,article,News,,"['Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Urban Areas', 'Automobiles', 'Electric Bicycles, Motorcycles and Scooters']"
Who Says Pocket Watches Are Only for Men?,2021-03-08,article,News,,"['Watches and Clocks', 'Women and Girls', 'your-feed-fashion']"
"$1.1 Million Homes in Rhode Island, Virginia and Indiana",2021-03-10,article,News,,['Real Estate and Housing (Residential)']
Your Wednesday Briefing,2021-03-23,article,briefing,,[]
