headline,date,doc_type,material_type,section,keywords
"ANTIQUES;
PARAMUS: THE ACCENT IS ON PORCELAIN",1981-01-04,article,News,,"['Antiques', 'RETAIL STORES AND TRADE']"
"Monday, January, 19, 1981; The Iranian Situation",1981-01-19,article,News,,['NO INDEX TERMS']
KENNECOTT'S PROBLEMS PERSIST,1981-01-06,article,News,,"['Mergers, Acquisitions and Divestitures', 'Finances', 'Stocks and Bonds']"
"Antiques;
TIME AGAIN FOR MEADOWLANDS SHOW",1981-01-11,article,News,,"['Antiques', 'EXPOSITIONS AND FAIRS', 'Glass']"
EFFORT TO SAVE 1845 SCHOOL,1981-01-18,article,News,,"['Historic Buildings and Sites', 'Education and Schools', 'Restoration and Rehabilitation']"
Crafts,1981-02-01,article,News,,"['Jewels and Jewelry', 'EXPOSITIONS AND FAIRS']"
STOCKS DROP AS TRADING SLOWS,1981-01-14,article,News,,"['INTEREST (MONEY)', 'Credit', 'Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
COMMODITY OPTION ENTICES EXCHANGES,1981-01-14,article,News,,"['FUTURES TRADING', 'Stocks and Bonds', 'OPTIONS TRADING']"
Commodities; Worrisome Stagnation In Copper,1981-01-19,article,News,,"['Metals and Minerals', 'PRICES', 'Copper, Brass and Bronze', 'FUTURES TRADING']"
THE WEEK IN BUSINESS,1981-02-01,article,News,,['NO INDEX TERMS']
