headline,date,doc_type,material_type,section,keywords
Optical Allusion,2012-08-29,article,News,,[]
General Way Things Are Going,2012-08-05,article,News,,[]
"Restaurant Report: Long Grain in Camden, Me.",2012-08-10,article,News,,"['Travel and Vacations', 'Restaurants', 'Thai Food (Cuisine)']"
Venezuela to Investigate Report That Brazilian Miners Massacred Indian Village,2012-08-30,article,News,,"['Mines and Mining', 'Metals and Minerals', 'Yanomami Indians', 'Murders and Attempted Murders']"
Asia Brings Drama to an Otherwise Drab Olympics,2012-08-02,article,News,,"['Badminton', 'Olympic Games (2012)']"
"Phys Ed, China’s Losing Game",2012-08-10,article,News,,"['Athletics and Sports', 'Medicine and Health', 'Obesity', 'Olympic Games', 'Physical Education and Training']"
Britain’s Olympics Whiplash,2012-08-09,article,Op-Ed,,"['Olympic Games (2012)', 'Athletics and Sports', 'Immigration and Emigration']"
Raisman’s Hometown Rallies From Across the Pond,2012-08-02,article,News,,"['Gymnastics', 'Olympic Games (2012)']"
N.F.L. Channels Available to Cablevision Subscribers,2012-08-17,article,News,,"['Cable Television', 'Football', 'Television']"
London Live: Follow Thursday’s Action at the Olympics,2012-08-09,article,News,,"['Boxing', 'Olympic Games (2012)', 'Soccer', 'Track and Field', 'Volleyball', 'Water Polo']"
