headline,date,doc_type,material_type,section,keywords
‘Million Dollar Listing’ Agent Has His Own New Listing,2021-08-06,article,News,,"['Real Estate and Housing (Residential)', 'Lofts']"
"Biden, Nixon and the Economic Burdens of a Superpower",2021-08-18,article,Op-Ed,,"['Gold Standard (Monetary)', 'Afghanistan War (2001- )', 'United States Economy', 'United States International Relations']"
The Biggest Highlights From the Oddest Olympics,2021-08-08,multimedia,Interactive Feature,,['Olympic Games (2020)']
A Jewelry Hub Hopes Gentrification Won’t Overwhelm History,2021-08-25,article,News,,"['Jewels and Jewelry', 'Area Planning and Renewal', 'Factories and Manufacturing', 'Shopping and Retail', 'Gentrification']"
Tokyo Olympics on Friday: Delivering in the Heat,2021-08-06,multimedia,Interactive Feature,,[]
Tokyo Olympics on Tuesday: Comebacks and Newcomers,2021-08-03,multimedia,Interactive Feature,,['Olympic Games (2020)']
Tokyo Olympics on Sunday: The Best Among Us,2021-08-01,multimedia,Interactive Feature,,['Olympic Games (2020)']
Tokyo Olympics on Monday: You Can’t Win Them All,2021-08-02,multimedia,Interactive Feature,,[]
Tokyo Olympics on Thursday: No Easy Wins,2021-08-05,multimedia,Interactive Feature,,[]
Russia Scoffs at Olympic Ban: ‘Let Them Listen to Classical Music’,2021-08-01,article,News,,"['Olympic Games (2020)', 'Olympic Games (2014)']"
