headline,date,doc_type,material_type,section,keywords
BUSINESS DIGEST,1992-08-29,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-08-27,article,Summary,,['NO INDEX TERMS']
Slight Gain Managed By Dollar,1992-08-26,article,News,,"['Records and Achievements', 'Currency', 'Forecasts']"
BUSINESS DIGEST,1992-08-20,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-08-25,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-08-05,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-08-07,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-08-28,article,Summary,,['NO INDEX TERMS']
By Design; Fasten Your Belts,1992-09-01,article,News,,"['BELTS', 'APPAREL']"
"CURRENTS;
Is It Paper? No, but It's a Wrap",1992-08-20,article,News,,"['APPAREL', 'Metals and Minerals', 'Design', 'SHOWS (EXHIBITS)']"
