headline,date,doc_type,material_type,section,keywords
"Douglas A.J. Latchford, Khmer Antiquities Expert, Dies at 88",2020-08-27,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Collectors and Collections', 'Antiques', 'Art', 'Arts and Antiquities Looting', 'Archaeology and Anthropology']"
Check Out These Charts,2020-08-13,article,News,,"['United States Economy', ""Standard & Poor's 500-Stock Index""]"
We Have Crossed the Line Debt Hawks Warned Us About for Decades,2020-08-21,article,News,,"['United States Economy', 'National Debt (US)', 'Government Bonds', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Interest Rates', 'Gross Domestic Product', 'United States Politics and Government']"
Michelle and Bernie Speak Their Truth,2020-08-18,article,News,,"['Presidential Election of 2020', 'Democratic National Convention']"
How to Reverse Course on Trump’s Environmental Damage,2020-08-22,article,Editorial,,"['Greenhouse Gas Emissions', 'Global Warming', 'Fuel Efficiency', 'Oil (Petroleum) and Gasoline', 'Executive Orders and Memorandums', 'United States Politics and Government']"
The Race Is On to Be the Peloton of Weight Lifting,2020-08-12,article,News,,"['Exercise', 'Weight Lifting', 'Quarantine (Life and Culture)']"
"Trump’s Racist, Statist Suburban Dream",2020-08-13,article,Op-Ed,,"['Presidential Election of 2020', 'Black People', 'Blacks', 'Race and Ethnicity', 'Real Estate and Housing (Residential)', 'Discrimination', 'Suburbs']"
"Bold Red Lipstick Is a Political Uniform, Too",2020-08-22,article,News,,"['Presidential Election of 2020', 'Fashion and Apparel', 'Women and Girls', 'Black People', 'Blacks']"
A Visitor’s Guide to MoMA and the Met,2020-08-28,article,News,,"['Art', 'Museums', 'Coronavirus Reopenings']"
The Actors With Disabilities Redefining Representation,2020-08-25,article,News,,"['Disabilities', 'Actors and Actresses']"
