headline,date,doc_type,material_type,section,keywords
Confronting the Rising Cost of Recycling,1990-10-13,article,An Analysis; News Analysis,,"['Finances', 'Waste Materials and Disposal', 'Recycling of Waste Materials']"
"  Drinking Water Will Be Purer, But at What Price?",1990-10-07,article,News,,"['CHLORINE', 'States (US)', 'Water', 'Finances']"
Turning Used Oil Into Gold,1990-10-28,article,News,,"['COMPANY AND ORGANIZATION PROFILES', 'Waste Materials and Disposal', 'Company Reports', 'Recycling of Waste Materials']"
  Late Rally Lifts Treasury Issues,1990-10-17,article,News,,"['Credit', 'Stocks and Bonds', 'BOND PRICES AND TRADING VOLUME', 'Government Bonds']"
  An Economist Kicks the Clouds Away,1990-10-21,article,Interview,,"['United States Economy', 'Forecasts']"
Mutual Funds;   What Investors Want to Know,1990-10-14,article,News,,"['INVESTMENT STRATEGIES', 'Mutual Funds', 'Stocks and Bonds']"
Quebec Indians Ponder True Cost of Electricity,1990-10-12,article,News,,"['Indians, American', 'CREE INDIANS', 'Hydroelectric Power', 'Electric Light and Power']"
BUSINESS DIGEST,1990-10-26,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1990-10-11,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1990-10-23,article,Summary,,['NO INDEX TERMS']
