headline,date,doc_type,material_type,section,keywords
Aid Cuts Vex Connecticut's Less-Than-Gold Coast,1992-02-23,article,News,,"['Finances', 'STATE AND LOCAL AID (US)', 'Budgets and Budgeting']"
BUSINESS DIGEST,1992-02-14,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-02-21,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-02-27,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-02-19,article,Summary,,['NO INDEX TERMS']
BUSINESS DIGEST,1992-02-11,article,Summary,,['NO INDEX TERMS']
Marrow Donor Sought To Save a Doctor's Life,1992-02-09,article,News,,"['Cancer', 'Leukemia', 'MARROW']"
"Digging for Ore Still Pays; Should Miners Pay, Too?",1992-02-12,article,News,,"['STRIP MINING', 'LABOR', 'Mines and Mining', 'Metals and Minerals', 'Gold', 'Public Property', 'Law and Legislation', 'Reclamation of Land', 'Royalties']"
Hard Times Put Shine on Hard Assets,1992-02-08,article,,,[]
"Style Makers;
Lauren Sheehan, Skating Costume Designer",1992-02-23,article,Biography,,"['Olympic Games (1992)', 'WINTER GAMES (OLYMPICS)', 'Ice Skating', 'Figure Skating']"
