headline,date,doc_type,material_type,section,keywords
Jewelry That Marks Every Second,2022-08-10,article,News,,"['Jewels and Jewelry', 'Watches and Clocks', 'your-feed-fashion']"
"Two Children, Two Cats and a Dog (and 250 Mice): She Needed a New Plan. Which Option Would You Choose?",2022-09-01,multimedia,Interactive Feature,,['Real Estate and Housing (Residential)']
Donation to Pay for Repairs to a Venice Treasure,2022-08-29,article,News,,"['Jewels and Jewelry', 'Restoration and Renovation', 'your-feed-fashion']"
House Hunting in South Africa: Carved Into a Mountain in Cape Town,2022-08-10,article,News,,['Real Estate and Housing (Residential)']
"A Story About Paul Newman, Three Rolexes and the Sound Barrier",2022-08-10,article,News,,"['Watches and Clocks', 'Auctions', 'Records and Achievements']"
Gucci Adds Luxury to a Body Monitoring Ring,2022-08-29,article,News,,"['Wearable Computing', 'Jewels and Jewelry', 'Heart', 'Sleep', 'Sensors', 'your-feed-fashion']"
"For Older Americans, Health Bill Will Bring Savings and ‘Peace of Mind’",2022-08-10,article,News,,"['Drugs (Pharmaceuticals)', 'Prices (Fares, Fees and Rates)', 'Health Insurance and Managed Care', 'Medicare', 'Diabetes', 'Insulin', 'Law and Legislation', 'Inflation Reduction Act of 2022']"
The Illegal Airstrips Bringing Toxic Mining to Brazil’s Indigenous Land,2022-08-02,multimedia,Interactive Feature,,"['Mines and Mining', 'Gold', 'vis-photo']"
The Robber Baron Who Remade Wall Street in His Own Image,2022-08-27,article,Review,,"['Books and Literature', 'Content Type: Personal Profile', 'Corporations', 'Railroads', 'Stocks and Bonds', 'Banking and Financial Institutions']"
Italian Jewelry Houses Shine on Venice’s Red Carpet,2022-08-29,article,News,,"['Jewels and Jewelry', 'Festivals', 'Venice Biennale', 'your-feed-fashion', 'Venice International Film Festival']"
