headline,date,doc_type,material_type,section,keywords
BUSINESS DIGEST,1990-01-30,article,Summary,,['NO INDEX TERMS']
"BUSINESS DIGEST: SATURDAY, JANUARY, 13, 1990",1990-01-13,article,Summary,,['United States Economy']
BUSINESS DIGEST,1990-01-12,article,Summary,,['NO INDEX TERMS']
Dow Slips by 0.42 as Stocks Close Mixed,1990-01-04,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
"70% Wage Increase Decreed in Lebanon, Fueling Rise in Tensions",1990-01-03,article,News,,"['LABOR', 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'Wages and Salaries', 'Economic Conditions and Trends']"
Chronicle,1990-01-23,article,News,,['Interior Design']
"  For Winter's Blues, Handmade Jewelry",1990-01-28,article,News,,"['Jewels and Jewelry', 'SHOWS (EXHIBITS)']"
BUSINESS DIGEST,1990-02-01,article,Summary,,['NO INDEX TERMS']
Q and A,1990-01-28,article,Question,,['NO INDEX TERMS']
"Dow Rebounds by 14.87 to Close at 2,615.32",1990-01-24,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average', 'STOCK PRICES AND TRADING VOLUME']"
