headline,date,doc_type,material_type,section,keywords
U. SWILL INTERVENE TO PROTECT DOLLAR; CURRENCY REBOUNDS,1978-01-05,article,Archives,,"['Oil (Petroleum) and Gasoline', 'International Trade and World Market', 'Currency']"
U. S. WILL INTERVENE TO PROTECT DOLLAR; CURRENCY REBOUNDS,1978-01-05,article,Archives,,[]
Commodities,1978-01-09,article,Archives,,[]
Commodities,1978-01-09,article,Archives,,['Silver']
Corporation Affairs,1978-01-14,article,Archives,,"['Lead', 'Zinc', 'HOTELS, BARS, MOTELS, NIGHT CLUBS AND RESTAURANTS', 'Steel and Iron', 'Gold', 'Plastics', 'Silver', 'Currency']"
PROFITS ARE TAKEN IN PRECIOUS METALS,1978-01-11,article,Archives,,[]
DOLLAR PLAN ROCKS FUTURES IN METALS,1978-01-05,article,Archives,,['Currency']
Dollar Off in Europe,1978-01-17,article,Archives,,[]
DOLLAR CONTINUES TO FALL ON SOME MARKETS ABROAD,1978-01-03,article,Archives,,['Currency']
METALS FUTURES RISE IN BARGAIN HUNTING,1978-01-06,article,Archives,,[]
