headline,date,doc_type,material_type,section,keywords
"After surging, commodity prices go into free fall",2008-03-20,article,News,,[]
Australian shares follow commodity prices lower,2008-03-20,article,News,,[]
"Gold and oil lure rattled investors, despite risks",2008-03-20,article,News,,[]
"Oil Prices Pass Record Set in ’80s, but Then Recede",2008-03-03,article,News,,"['Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)']"
"Gold and oil lure rattled investors, despite risks",2008-03-20,article,News,,[]
Dow Gives Up 293 Points; Gold and Oil Plunge,2008-03-19,article,News,,"['Dow Jones Stock Average', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)']"
Boycott Tarnishes Gold Medal Dreams,2008-03-29,article,News,,"['Basketball', 'Olympic Games']"
New Dinnerware From Daniel Levy,2008-03-13,article,News,,['Home Furnishings']
Global stocks fall as gold and oil hit new records,2008-03-13,article,News,,[]
Oil prices near $104 a barrel as dollar falls to historic low against euro,2008-03-03,article,News,,[]
