headline,date,doc_type,material_type,section,keywords
"Why Spend $110 Million on a Basquiat? ‘I Decided to Go for It,’ Japanese Billionaire Explains",2017-05-26,article,News,,"['Art', 'Auctions', 'Collectors and Collections', 'Prices (Fares, Fees and Rates)']"
"In a Time of Stress, Jewelry Becomes Armor",2017-05-17,article,News,,"['Jewels and Jewelry', ""Women's Rights""]"
"Uber Has a Union of Sorts, but Faces Doubts on Its Autonomy",2017-05-12,article,News,,"['Car Services and Livery Cabs', 'Organized Labor']"
"Uber to Repay Millions to Drivers, Who Could Be Owed Far More",2017-05-24,article,News,,"['Car Services and Livery Cabs', 'Prices (Fares, Fees and Rates)', 'Labor and Jobs', 'Suits and Litigation (Civil)']"
JAR’s Light in the Darkness,2017-05-18,article,News,,"['Jews and Judaism', 'Museums', 'Jewels and Jewelry']"
What’s New in NYC Theater,2017-05-11,article,News,,['Theater']
California Today: Rep. Adam B. Schiff on Impeachment Talk and More,2017-05-23,article,briefing,,[]
Pricey ‘King Arthur’ Is a Box Office Pauper,2017-05-14,article,News,,['Movies']
What Was Unusual About Tom Brady’s Stolen Super Bowl Jersey? He Got It Back,2017-05-15,article,News,,"['Memorabilia and Souvenirs', 'Robberies and Thefts', 'Athletics and Sports']"
The End of the Australian Dream?,2017-05-01,article,Op-Ed,,['Real Estate and Housing (Residential)']
