headline,date,doc_type,material_type,section,keywords
The Etiquette of Engraving,2019-12-06,article,News,,"['Jewels and Jewelry', 'Weddings and Engagements', 'your-feed-fashion']"
A Korean Tradition With a Twist,2019-12-06,article,News,,"['Jewels and Jewelry', 'Weddings and Engagements', 'your-feed-fashion']"
My Very Marry Christmas,2019-12-25,article,Op-Ed,,"['Christmas', 'Weddings and Engagements', 'Diamonds', 'Love (Emotion)']"
$2 Million Homes in California,2019-12-23,article,News,,['Real Estate and Housing (Residential)']
"$850,000 Homes in California",2019-12-16,article,News,,['Real Estate and Housing (Residential)']
"For High Jewelry, a Multifaceted Future?",2019-12-06,article,News,,"['Jewels and Jewelry', 'Luxury Goods and Services', 'Diamonds', 'High Net Worth Individuals', 'Shopping and Retail']"
"$400,000 Homes in California",2019-12-30,article,News,,['Real Estate and Housing (Residential)']
"Beware the Evil Eye. Or Buy One, Just for Kicks",2019-12-06,article,News,,"['Jewels and Jewelry', 'Superstitions', 'your-feed-fashion']"
The Year In Real Estate,2019-12-27,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)', 'Mortgages', 'Renting and Leasing (Real Estate)', 'Shopping Centers and Malls', 'Mixed-Use Developments', 'Interior Design and Furnishings', 'Condominiums', 'Shopping and Retail', 'Two Thousand Nineteen']"
Craftsmanship Times Three,2019-12-04,article,News,,"['Fashion and Apparel', 'Shoes and Boots', 'Family Business', 'Eyeglasses', 'your-feed-fashion']"
