headline,date,doc_type,material_type,section,keywords
World Gold,1980-11-09,article,Archives,,[]
World Gold,1980-11-21,article,Archives,,[]
World Gold,1980-11-16,article,Archives,,[]
CURRENCY MARKETS Dollar Narrowly Mixed; Gold Is Higher Abroad,1980-11-05,article,Archives,,[]
CURRENCY MARKETS Dollar Gains Broadly; Gold Steadies Near $636,1980-11-22,article,Archives,,[]
Data Bank; THE ECONOMY PRICES PRODUCTION FINANCE ,1980-11-30,article,Archives,,[]
Data Bank; THE ECONOMY PRICES PRODUCTION FINANCE ,1980-11-16,article,Archives,,[]
CURRENCY MARKETS; Dollar Gains on Pound; Gold Off Sharply in U.S. Key Rate Is Reduced,1980-11-25,article,Archives,,[]
COMMODITIES Interest Rate Futures Up; Livestock Prices Decline; Metals Prices Tumble ,1980-11-01,article,Archives,,[]
Indonesia and Venezuela Expected to Lift Oil Price; 2 Oil Nations Expected to Lift Prices Shipments From Iran and Iraq Scheduled OPEC Session,1980-11-27,article,Archives,,[]
