headline,date,doc_type,material_type,section,keywords
"VIEWS; Final, Golden Touches on Capitol Dome",1999-05-16,article,News,,"['Gold', 'Restoration and Rehabilitation', 'CAPITOL BUILDING (TRENTON, NJ)']"
Device Confers on Computers A Welcome Touch of Stereo,1999-05-27,article,News,,"['Sound', 'Computers and the Internet']"
NEWS SUMMARY,1999-05-08,article,Summary,,[]
On Giving Up the Peso : LETTERS TO THE EDITOR,1999-05-20,article,,,[]
Patterns; Prescription glasses now available at Barneys Philadelphia jeweler fulfills a New York dream.,1999-05-04,article,News,,['Eyeglasses']
Ship of Foes,1999-05-23,article,Review,,"['Books and Literature', 'Reviews']"
U.S. Concern Solicits British Investment Funds,1999-06-01,article,News,,"['Stocks and Bonds', 'Brokers and Brokerage Firms']"
Young Swimmers Are Trying to Float Above Red Ink,1999-05-30,article,News,,"['Finances', 'Children and Youth', 'Swimming', 'Prices (Fares, Fees and Rates)']"
It Plans to Buy Republic N.Y. for $10.3 Billion : HSBC Broadens Scope To Private Banking,1999-05-11,article,,,[]
WORLD BUSINESS BRIEFING,1999-05-25,article,News,,[]
