headline,date,doc_type,material_type,section,keywords
"NUMISMATICS;
MARKETING PLANS FOR TREASURY'S GOLD 'MEDALLIONS'",1983-04-17,article,News,,"['Gold', 'Numismatics', 'MEDALS AND MEDALLIONS']"
REFINERS' STOCKS GROW,1983-04-13,article,News,,"['Copper, Brass and Bronze', 'PRICES', 'FUTURES TRADING']"
"WEDNESDAY, APRIL 13, 1983",1983-04-13,article,Summary,,['NO INDEX TERMS']
"WEDNESDAY, APRIL 6, 1983",1983-04-06,article,Summary,,['NO INDEX TERMS']
WHAT PRICE GLORY? A $72.5 MILLION PAYROLL,1983-04-11,article,News,,"['Baseball', 'Wages and Salaries', 'PROFESSIONAL ATHLETICS']"
"TUESDAY, APRIL 12, 1983",1983-04-12,article,Summary,,['NO INDEX TERMS']
MANY STOCK MARKETS ABROAD REPORT GAINS IN FIRST QUARTER,1983-04-04,article,News,,"['Politics and Government', 'Economic Conditions and Trends', 'Stocks and Bonds', 'STOCK PRICES AND TRADING VOLUME']"
"FRIDAY, APRIL 1, 1983",1983-04-01,article,Summary,,['NO INDEX TERMS']
"SATURDAY, APRIL 23, 1983",1983-04-23,article,Summary,,['NO INDEX TERMS']
"WEDNESDAY, APRIL 20, 1983",1983-04-20,article,Summary,,['NO INDEX TERMS']
