headline,date,doc_type,material_type,section,keywords
Gold and platinum touch new records,2008-02-05,article,News,,[]
"Gold, horses, shopping - must be Hong Kong",2008-02-19,article,News,,[]
High price of crude and a weaker yen lift Asian stocks,2008-02-21,article,News,,[]
"This Year, Commodities Are on a Rockier Road",2008-02-10,article,News,,"['Metals and Minerals', 'Corn', 'Economic Conditions and Trends', 'Production', 'Recession and Depression', 'United States Economy', 'Prices (Fares, Fees and Rates)']"
Outlook for commodities is uncertain,2008-02-11,article,News,,[]
Weak factory data weigh on U.S. stocks,2008-02-15,article,News,,[]
Rio Tinto Rejects Latest Offer,2008-02-07,article,News,,"['Mergers, Acquisitions and Divestitures', 'Mines and Mining']"
Bernanke's fears on growth hit stocks,2008-02-14,article,News,,[]
U.S. stocks rally on Buffett's offer,2008-02-12,article,News,,[]
End of the bull market?,2008-02-02,article,News,,[]
