headline,date,doc_type,material_type,section,keywords
Ai Weiwei Debuts His First Jewelry Collection,2015-11-12,article,News,,['Jewels and Jewelry']
Flexible Illusions,2015-11-02,article,News,,[]
At the Paris Show: Beautiful Watches,2015-11-27,article,News,,['Watches and Clocks']
The Best-Selling Sports Books,2015-11-18,article,List,,"['Book Trade and Publishing', 'Books and Literature', 'Athletics and Sports']"
New York Store Openings and Other Shopping Events,2015-11-25,article,News,,"['Fashion and Apparel', 'Black Friday and Cyber Monday (Shopping)', 'Small Business', 'Shopping and Retail']"
Where to Shop in Rome’s Campo Marzio,2015-11-25,multimedia,Interactive Feature,,"['Travel and Vacations', 'Shopping and Retail']"
The Morning Agenda:  The Privatization of the Justice System,2015-11-02,article,News,,"['Accounting and Accountants', 'Arbitration, Conciliation and Mediation', 'Banking and Financial Institutions', 'Courts and the Judiciary', 'Cyberattacks and Hackers', 'Gold', 'Hedge Funds', 'Initial Public Offerings', 'Mergers, Acquisitions and Divestitures', 'SUPREME COURT (US)']"
Mohawk or Watch? Let's Make a Deal,2015-11-30,article,News,,"['Watches and Clocks', 'Collectors and Collections']"
Publisher Releases Signed Edition of Harper Lee’s ‘Watchman’,2015-11-25,article,News,,"['Books and Literature', 'Book Trade and Publishing', 'Collectors and Collections', 'Memorabilia and Souvenirs']"
Why Jeffrey Lacker Is Worried About Inflation,2015-11-12,article,News,,"['Interest Rates', 'Inflation (Economics)', 'United States Economy', 'Banking and Financial Institutions']"
