headline,date,doc_type,material_type,section,keywords
World Gold,1980-09-04,article,Archives,,[]
World Gold,1980-09-17,article,Archives,,[]
World Gold,1980-09-19,article,Archives,,[]
World Gold,1980-09-06,article,Archives,,[]
Renewed Demand for Gold Stock; Effect on Stock Market Gold Stocks Rise on New Finds and Inflation Fears ,1980-09-15,article,Archives,,[]
Dollar Slips in Quiet Trading; Gold Off,1980-09-02,article,Archives,,[]
Market Place; Gold Is Urged Again as a Hedge,1980-09-26,article,Archives,,[]
IU Gold Find Tops A Million Ounces,1980-09-13,article,Archives,,[]
Klondike's New Gold Rush; Sourdoughs Are Replaced By Bulldozers Bulldozers Mark New Gold Rush In Klondike ,1980-09-06,article,Archives,,[]
CURRENCY MARKETS Dollar Gains Broadly As Interest Rates Rise; Active Dollar Trading in New York ,1980-09-30,article,Archives,,[]
