headline,date,doc_type,material_type,section,keywords
Equipped for Service,1996-10-03,article,News,,['Home Furnishings']
"Skip Away Will Nip at Favorites, and Fingers",1996-10-06,article,News,,"['Horse Racing', 'JOCKEY CLUB GOLD CUP', 'SKIP AWAY (RACE HORSE)']"
Old-Style Board Faulted After Botched Voting,1996-10-12,article,News,,['Elections']
CYBERSCAPE : Click on Money?Currency Trades Come to the Net,1996-10-07,article,,,[]
The Adventures of Macon Dead,1996-10-06,article,Review,,['Books and Literature']
Godfather of Exotic Modernism,1996-10-06,article,News,,"['Interior Design', 'Design']"
Eldredge Keeps His Mind Trained on Next Olympics,1996-11-01,article,News,,"['Ice Skating', 'THRIFTY RENTAL CAR SKATE AMERICA INTERNATIONAL', 'Figure Skating']"
Back in Prints,1996-10-06,article,News,,"['Wallpaper', 'SPECIAL SECTIONS']"
Public Pays for the Learning-Disabled to Attend Private Schools,1996-10-27,article,News,,"['Vouchers', 'Education and Schools', 'Private Schools', 'Special Education (Handicapped)']"
"9 Years on Market, Marcos Estate Is Sold",1996-10-06,article,News,,['Housing']
