headline,date,doc_type,material_type,section,keywords
"After Two Stumbles, Team U.S.A. Starts to Look More Like Itself",2021-07-13,article,News,,"['Basketball', 'Olympic Games (2020)']"
Simone Biles Said She Was Not in a Good Place Mentally to Continue,2021-07-27,article,News,,"['Olympic Games (2020)', 'Gymnastics', 'Anxiety and Stress', 'Mental Health and Disorders']"
What you need to know as track and field takes off at the Tokyo Olympics.,2021-07-29,article,News,,['Olympic Games (2020)']
Your Friday Briefing,2021-07-29,article,briefing,,[]
Tokyo Olympics on Sunday: The Best Among Us,2021-07-31,multimedia,Interactive Feature,,['Olympic Games (2020)']
Tokyo Olympics on Sunday: The Best Among Us,2021-08-01,multimedia,Interactive Feature,,['Olympic Games (2020)']
Russia Scoffs at Olympic Ban: ‘Let Them Listen to Classical Music’,2021-08-01,article,News,,"['Olympic Games (2020)', 'Olympic Games (2014)']"
Tokyo Olympics on Thursday: Rising to the Challenge,2021-07-29,multimedia,Interactive Feature,,['Olympic Games (2020)']
Tokyo Olympics on Friday: U.S. Women’s Soccer to Semifinals,2021-07-30,multimedia,Interactive Feature,,[]
Your Wednesday Briefing,2021-07-27,article,briefing,,[]
