headline,date,doc_type,material_type,section,keywords
Keynes 1921 and the Euro Crisis,2012-05-20,article,News,,[]
Selling the Xbox as if It Were a Cellphone,2012-05-03,article,News,,"['Computer and Video Games', 'Xbox 360 (Video Game System)']"
Modern Artists Find a Sartorial Purpose With Jewelry,2012-05-16,article,News,,"['Jewels and Jewelry', 'Sculpture', 'Art']"
What History Can Explain About Greek Crisis,2012-05-21,article,News,,"['Euro (Currency)', 'European Sovereign Debt Crisis (2010- )']"
Putting Names to Faces From the 1960 Democratic National Convention,2012-05-04,article,News,,[]
Disconnect in the Art Market,2012-05-11,article,News,,"['Art', 'Auctions']"
Investor Doubts Constrain a Russian Oil Powerhouse,2012-05-29,article,News,,"['Oil (Petroleum) and Gasoline', 'Stocks and Bonds']"
Wall Street Tumbles 2% on Jobs Data,2012-06-01,article,News,,"['United States Economy', 'Labor and Jobs', 'Stocks and Bonds']"
Adding Diamonds to an Investor's Options,2012-05-29,article,News,,"['Diamonds', 'Foreign Investments', 'High Net Worth Individuals']"
Daily Report: Small Investors May Get a Piece of Facebook,2012-05-04,article,News,,"['Banking and Financial Institutions', 'Initial Public Offerings']"
