headline,date,doc_type,material_type,section,keywords
"After 114 Years, It's Payday; Patience Is Rewarded Meagerly As Inflation Erodes 1881 Bonds",1995-07-01,article,News,,['Stocks and Bonds']
Winners and Losers From Earlier Picks,1995-06-17,article,,,[]
Dow Tumbles 34.58 Points As Hopes Dim for Rate Cut,1995-06-10,article,News,,"['Stocks and Bonds', 'Dow Jones Stock Average']"
The Promise and Peril of Eastern Mining Plays,1995-06-17,article,,,[]
Very Little Women,1995-06-11,article,Review,,"['Books and Literature', 'Reviews']"
Oklahoma Bombing Linked to Arkansas Robbery,1995-06-15,article,News,,"['Robberies and Thefts', 'BOMBS AND BOMB PLOTS', 'Terrorism']"
Sports of The Times;Baseball's New Satire: 'Cardtoons',1995-06-03,article,News,,"['Baseball', 'Trading Cards']"
"FRUGAL TRAVELER;
A Frequent Flier Finally Cashes In",1995-06-18,article,News,,"['Travel and Vacations', 'NYTRAVEL']"
A Penny Saved Is a Penny to Spend,1995-06-18,article,News,,"['Prices (Fares, Fees and Rates)', 'NYTRAVEL', 'Travel and Vacations']"
"In the Region /Long Island;
A Renewed Softness, and Some Rising Inventories",1995-06-18,article,News,,"['Housing', 'Sales']"
