headline,date,doc_type,material_type,section,keywords
"Liberty, Luxury and Café Crème",2007-06-26,article,News,,[]
"For Riders, Risk Is Growing",2007-07-01,article,News,,"['Accidents and Safety', 'Motorcycles, Motor Bikes and Motorscooters']"
"For the Sergeants, a Hip New Boot, Stripes Included",2007-06-03,article,News,,"['Shoes and Boots', 'RETAIL STORES AND TRADE', 'Police']"
A Trinidadian Dispute Runneth Over as Cup Money Does Not,2007-06-13,article,News,,['Soccer']
Warsaw Underground,2007-06-10,article,Review,,['Books and Literature']
Commodity boom brings new wealth - and inflation - to Perth,2007-06-18,article,News,,[]
Commodity boom brings new wealth - and inflation - to Perth,2007-06-18,article,News,,[]
"Birdies, Bogeys and Stogies",2007-06-17,article,News,,"['Golf', 'Cigars']"
Trying on Enlightenment for Size,2007-06-21,article,News,,"['RETAIL STORES AND TRADE', 'APPAREL']"
Markets Soar on Upbeat Economic Data,2007-06-14,article,News,,"['United States Economy', 'Dow Jones Stock Average', 'Stocks and Bonds', 'Economic Conditions and Trends']"
