headline,date,doc_type,material_type,section,keywords
A Few Weighty Facts About the New Currency,1998-05-02,article,,,[]
BUSINESS DIGEST,1998-05-23,article,Summary,,[]
Coronado's Quest Drops Belmont From Agenda,1998-05-22,article,News,,"['Horse Racing', 'Belmont Stakes']"
Seinfeld & Associates: A Portfolio,1998-05-10,article,News,,"['ADVERTISING', 'Television']"
NEWS SUMMARY,1998-05-26,article,Summary,,[]
Retaining Classic Elegance and Charm,1998-05-10,article,Review,,"['Reviews', 'Restaurants']"
Reveling in the Glory of the Garden at Two Hit Shows,1998-05-19,article,,,[]
Sale of Russian Oil Company Gets No Bidders,1998-05-27,article,News,,"['Mergers, Acquisitions and Divestitures', 'Oil (Petroleum) and Gasoline', 'Currency', 'Economic Conditions and Trends']"
"In a Modest Home, a Grand Vestige of Titanic's Sister",1998-05-10,article,News,,"['Ships and Shipping', 'Interior Design', 'Auctions', 'Titanic (Ship)', 'OLYMPIC (SHIP)']"
Keeping Reagan's Legacy Alive at His Old Ranch,1998-05-24,article,News,,[]
