headline,date,doc_type,material_type,section,keywords
"WEDNESDAY, JUNE 2, 1982; Companies",1982-06-02,article,Summary,,['NO INDEX TERMS']
"TUESDAY, JUNE 29, 1982; International",1982-06-29,article,Summary,,['NO INDEX TERMS']
"THURSDAY, JULY 1, 1982; The Economy",1982-07-01,article,Summary,,['NO INDEX TERMS']
"FRIDAY, JUNE 11, 1982; The Economy",1982-06-11,article,Summary,,['NO INDEX TERMS']
"SATURDAY, JUNE 12, 1982; The Economy",1982-06-12,article,Summary,,['NO INDEX TERMS']
"THURSDAY, JUNE 17, 1982; The Economy",1982-06-17,article,Summary,,['NO INDEX TERMS']
"TUESDAY, JUNE 15, 1982; The Economy",1982-06-15,article,Summary,,['NO INDEX TERMS']
"THURSDAY, JUNE 3, 1982; The Economy",1982-06-03,article,Summary,,['NO INDEX TERMS']
"SATURDAY, JUNE 5, 1982; The Summit",1982-06-05,article,Summary,,['NO INDEX TERMS']
"TUESDAY, JUNE 8, 1982; Companies",1982-06-08,article,Summary,,['NO INDEX TERMS']
