headline,date,doc_type,material_type,section,keywords
Why Would I Sign Up for a ‘Bronze’ Plan?,2010-06-08,article,,,[]
"At Cape Town's High End, Mild Declines After a Wild Ride",2010-06-10,article,News,,['Housing and Real Estate']
New Housing Comes to Ladies’ Mile,2010-06-11,article,News,,"['Historic Buildings and Sites', 'Housing and Real Estate']"
Mimosas and Caviar for Breakfast,2010-06-30,article,News,,"['Cosmetics and Toiletries', 'Skin', 'Beauty']"
Exchanges Bring Questions of Eligibility,2010-06-14,article,Question,,"['Medicine and Health', 'Health Insurance and Managed Care', 'Reform and Reorganization']"
Hopeful Outlook on Jobs Gives the Market a Lift,2010-06-04,article,,,[]
4 Shop Owners Die in Iraqi Robberies,2010-06-26,article,News,,"['Robberies and Thefts', 'Iraq War (2003- )', 'Murders and Attempted Murders']"
"In Space Race, Enter Entrepreneurs",2010-06-08,article,,,[]
"In New Space Race, Enter the Entrepreneurs",2010-06-07,article,News,,"['Space Stations', 'Entrepreneurship', 'Science and Technology']"
"Play It Again, Vieuxtemps. But for $18 Million?",2010-06-19,article,News,,"['Violins', 'Collectors and Collections', 'Musical Instruments']"
