headline,date,doc_type,material_type,section,keywords
Dollar Falls Broadly,1978-04-22,article,Archives,,[]
Money,1978-04-08,article,Archives,,[]
Soybean Futures Climb In May Contract Only,1978-04-29,article,Archives,,[]
"Roy Harrod, One of the 20th Century's Seminal Economic Minds",1978-04-11,article,Archives,,['Economics']
"DOLLAR UP IN EUROPE, TOKYO AND NEW YORK",1978-04-14,article,Archives,,[]
`Quite A While’,1978-04-09,article,Archives,,['BOOK REVIEWS']
News Summary,1978-04-21,article,Archives,,[]
News Summary,1978-04-21,article,Archives,,[]
Commodities,1978-04-03,article,Archives,,['Gold']
Personal Investing,1978-04-01,article,Archives,,[]
